id,bezirk,bezeichnung,strasse,plz,von,bis,zeit,veranstalter,Tel,Fax,mail,www,bemerkungen,Eintrittspreis,Änderungen
16,,,,,0000-00-00,0000-00-00,,,,,,,,,
586,Beelitz,Kürbis- und Spargelhof Syring - Mit großem Kreiserntefest,"Trebbiner Str. 69f, Beelitz OT Zauchwitz",,19.09.2015,20.09.2015,"K.A.
",Syring - Feinkost,033204/63 80 - 0,033204/63 80 29,info@beelitzerkuerbis.de,www.beelitzerkuerbis.de,,K.A.,"
Eintritt"
448,Beeskow,"18. Osterspectaculum auf der Burg Beeskow - Historischer Markt, Ritterlager & Ritterkämpfe am Boden, Musik & Show",Burg Beeskow,15848,04.04.2015,06.04.2015,10:00-20:00,Carnica Historische Feste & Märkte,0171/515 32 70,033602/29 64,post@carnica.de,www.carnica-spectaculi.de,"","Eintritt Erwachsene 10 € (3-Tageskarte 15 €) , Kinder bis 5 Jahre frei, 
Kinder 6 - 16 Jahre 5 € (8 €), Schüler, Studenten, gewandete Gäste 8 € 
(13 €), Familie 25 € (30 €) , Besuch der Museen, Ausstellungen und 
Turmbesuch der Burg im Eintrittspreis enthalten",Eintritt
488,Bernau,24. Hussitenfestspiele Bernau,Stadt und Stadtpark Bernau,,12.06.2015,14.06.2015,"Fr 14:00-01:00
Sa 10:00-01:00
So 10:00-19:00",LAUBINGER Veranstaltungsagentur,033439/14 34 90,033439/14 34 92,info@laubinger.de,www.laubinger.de,"große Kirmes im Stadtpark Bernau, Mittelalterspektakel, Altstadtmarkt, großer Festumzug",Eintritt frei,"Uhrzeit Eintritt
"
552,Burg (Spreewald),23. Heimat- und Trachtenfest des Amtes Burg (Spreewald),Festplatz,,28.08.2015,30.08.2015,10:00-00:00,"Veranstaltungsagentur Rica Neels, Cottbus, i. Z. m. dem Amt Burg (Spreewald)",035603/75 01 60,035603/750 16 16,info@BurgimSpreewald.de,www.BurgimSpreewald.de,"Großer traditioneller Festumzug: 30.08., 14:00",Eintritt frei,Bemerkungen Eintritt
2,Charlottenburg-Wilmersdorf,4. Ostermarkt auf dem Breitscheidplatz,Breitscheidplatz,,04.04.2015,12.04.2015,"Mo - Do 11:00-21:00
Fr - So 11:00-22:00","Schaustellerverband Berlin e. V.
","213 32 90
",213 40 34,info@svbev.de,www.schaustellerverband-berlin.de,"",Eintritt frei,Bemerkungen Eintritt
4,Charlottenburg-Wilmersdorf,Maifest 2015,Rüdesheimer Platz,14197,09.05.2015,10.05.2015,"Sa 11:00-22:00
So 10:00-20:00
","Rüdi-Net e. V.
",0152/33 79 85 14,"",mail@ruedi-net.de,www.ruedinet.de,"Marktmeile:
Sa, So 11:00-19:00 ","Eintritt frei
",Eintritt
6,Charlottenburg-Wilmersdorf,Fest der Nationen,Prager Platz,,29.05.2015,31.05.2015,"
K.A.","Catering Company GmbH
Herr Arzig
","282 21 84, 0170/222 12",28 59 81 40,cateringcompany@email.de,www.catering-company-berlin.de,,K.A.,Eintritt
8,Charlottenburg-Wilmersdorf,Frühling in Westend,Preußenallee,14052,09.05.2015,10.05.2015,"Sa 11:00-23:00
So 11:00-20:00","Family & Friends e. V.
",0178 / 238 55 21,305 55 21,stadtkultur@family-and-friends-eV.de,www.family-and-friends-eV.de,,K.A.,Telefon Eintritt
10,Charlottenburg-Wilmersdorf,Kinder- und Familienfest auf dem Klausener Platz,Klausener Platz,,24.05.2015,25.05.2015,10:00-22:00,"Ensar Camii e. V.
",33 00 74 29/35,"",ensar.camii@web.de,K.A.,,K.A.,Telefon Mail WWW Eintritt
12,Charlottenburg-Wilmersdorf,6. Berliner Kunstallee,"Schloßstr. 1-12
ggü. Schloss Charlottenburg",,30.05.2015,31.05.2015,11:00-18:00,"Cornelja Hasler, Kunsthand-Berlin",40 63 70 31,401 74 40,info@kunsthand-berlin.de,www.kunsthand-berlin.de,,K.A.,Eintritt
14,Charlottenburg-Wilmersdorf,Fest im Österreich Park,Sömmeringstr. 1,10589,21.06.2015,21.06.2015,15:00-22:00,"Österreich Werbung, Kontakt: Markus Aspetzberger",21 91 48 16,"",markus.aspetzberger@austria.info,www.austria.info/berlin,,Eintritt frei,Eintritt
18,Charlottenburg-Wilmersdorf,37. Christopher Street Day Parade 2015,Beginn: Kurfürstendamm,,27.06.2015,27.06.2015,12:30,Berliner CSD e. V.,23 62 86 32,23 62 86 34,info@csd-berlin.de,www.csd-berlin.de,,Eintritt frei,Mail Eintritt
20,Charlottenburg-Wilmersdorf,21. Fête de la Musique,"",,21.06.2015,21.06.2015,14:00-22:00,Fête Company,+49-30- 417 15 289,"",hallo@fetedelamusique.de,www.fetedelamusique.de,Veranstaltungsorte und Uhrzeiten: siehe gesondertes Verzeichnis,Eintritt frei,Straße Bemerkungen Eintritt
22,Charlottenburg-Wilmersdorf,35. Internationales Drehorgelfest,Breitscheidplatz/Kaiser-Wilhelm-Gedächtniskirche,,03.07.2015,05.07.2015,"Fr 11:00-24:00
Sa 11:00-24:00
So 11:00-21:00",Schaustellerbetrieb Thilo-Harry Wollenschlaeger,0163/400 05 00,03322/423 41 39,info@wollenschlaeger-berlin.de,www.wollenschlaeger-berlin.de,,K.A.,Eintritt
24,Charlottenburg-Wilmersdorf,IV. Duckstein-Festival - Kulturfest,Schloss Charlottenburg,,10.07.2015,19.07.2015,"Mo - Fr 16:00-23:00
Sa 14:00-24:00
So 12:00-22:00",bwp festival & event GmbH,040/46 88 23 01,"",info@bergmann-gruppe.net,www.ducksteinfestival.de,,K.A.,Eintritt
26,Charlottenburg-Wilmersdorf,Kleines Straßenfest zum Schweizer Nationalfeiertag,Güntzelstraße,10717,01.08.2015,01.08.2015,11:00-23:00,Kamfa Feinkost GmbH Chuchichäschtli,53 67 72 20,25 56 41 94,info@chuchichaeschtli.de,www.chuchichaeschtli.de,,K.A.,Eintritt
28,Charlottenburg-Wilmersdorf,"""Summer In the City"" 2015 - Partnerboulevards der ""Vereinigung weltbekannter Einkaufsstraßen"" aus 8 Ländern präsentieren sich",Breitscheidplatz an der Kaiser-Wilhelm-Gedächtniskirche,10789,31.07.2015,16.08.2015,"31.07.: 16:30-24:00
So - Do 10:00-22:00
Fr, Sa 10:00-24:00",Arbeitsgemeinschaft City e. V.,262 95 91/92,262 95 93,info@agcity.de,www.agcity.de,"",Eintritt frei,Eintritt
30,Charlottenburg-Wilmersdorf,"Sommerfest am Rüdesheimer Platz - ""Wir treffen uns am Rüdesheimer Platz""",Rüdesheimer Platz und Landauer Straße,14197,05.09.2015,06.09.2015,"Sa 11:00-22:00
So 10:30-20:00","Rüdi-Net e V., Das Netzwerk am Rüdesheimer Platz",0152/33 79 85 14,"",mail@ruedi-net.de,www.ruedi-net.de,"Marktmeile: Sa, So 11:00-19:00",Eintritt frei,Eintritt
32,Charlottenburg-Wilmersdorf,41. Berliner Seniorenwoche,Breitscheidplatz,,05.09.2015,17.09.2015,10:00 - 17:00,Senatsverwaltung für Gesundheit und Soziales,90 28 27 92,86 20 89 71,info@senioren-berlin.de,www.senioren-berlin.de,"",Eintritt frei,Eintritt
34,Charlottenburg-Wilmersdorf,Sommerfest der Kirchengemeinde Alt-Schmargendorf,Misdroyer Str. 39,,05.07.2015,05.07.2015,ab 14:00,Evangelische Kirchengemeinde Alt-Schmargendorf,81 82 69 86,823 62 77,mail@alt-schmargendorf.de,www.alt-schmargendorf.de,13:00 Familiengottesdienst,Eintritt frei,Mail Eintritt
36,Charlottenburg-Wilmersdorf,14. Antikmeile Suarezstraße,Suarezstraße zwischen Kantstraße und Kaiserdamm,,05.09.2015,05.09.2015,12:00-20:00,"Oldthing, Michael Schrottmeyer",29 00 20 10,"",service@oldthing.de,http://oldthing.de/suarezstrasse,,Eintritt frei,WWW Eintritt
38,Charlottenburg-Wilmersdorf,Herbst in Westend,Preußenallee,14052,19.09.2015,20.09.2015,"Sa 11:00-23:00
So 11:00-20:00",Family & Friends e. V.,305 55 21,305 55 21,stadtkultur@family-and-friends-eV.de,www.family-and-friends-eV.de,,K.A.,Eintritt
632,Charlottenburg-Wilmersdorf,BERLIN CELEBRATES IFA - die Trendshow am Kurfürstendamm,Breitscheidplatz,10789,04.09.2015,09.09.2015,10:00-20:00,Arbeitsgemeinschaft City e. V. in Kooperation mit der Messe Berlin GmbH und der Agentur AD AGENDA Kommunikation und Event GmbH,536 33 30,,Anne.Heinemann@ad-agenda.com,http://celebrate-ifa.de/,"",Eintritt frei,Eintritt
640,Charlottenburg-Wilmersdorf,Sport im Olympiapark mit dem 21. Kinder- und Jugendfestival,Gelände des Olympiaparks,,30.08.2015,30.08.2015,10:00-18:00,Landessportbund Berlin e. V. in Kooperation mit Juventus Deutschland e. V.,30 00 20,,M.Luetzen@sport-im-olympiapark-berlin.de,http://www.sport-im-olympiapark-berlin-2014.de,,K.A.,Mail Eintritt
432,Cottbus,Umzug in Cottbus,Cottbuser Innenstadt,,08.02.2015,08.02.2015,13:11-17:00,Drebkauer Carneval Club e. V.,035602/212 64,035602/212 64,info@drebkau-helau.de,www.drebkau-helau.de,,,
510,Eberswalde,8. FinE Straßenkulturfest (Fest in Eberswalde),Eberswalder Innenstadt und am Ufer des Finowkanals,,06.06.2015,06.06.2015,10:30-01:00,Stadt Eberswalde,03334/645 20,03334/644 19,kulturamt@eberswalde.de,www.eberswalde.de,,K.A.,Mail Eintritt
478,Erkner,23. Heimatfest Erkner,Friedrichstraße,,05.06.2015,07.06.2015,K.A.,LAUBINGER Veranstaltungsagentur,033439/14 34 90,033439/14 34 92,info@laubinger.de,www.laubinger.de,"großes Stadtfest mit Bühnenprogramm, Festumzug, Feuerwerk, Vereinsprogramm",K.A.,Eintritt
616,Falkensee,19. Falkenseer Herbstfest,Falkenseer Chaussee,,16.10.2015,25.10.2015,K.A.,Schaustellerbetrieb Thilo-Harry Wollenschlaeger,0163/400 05 00,03322/423 41 39,info@wollenschlaeger-berlin.de,www.wollenschlaeger-berlin.de,,K.A.,Eintritt Zeit
